Eurovision_Year,"artista EU","track eu","artista spotify","track spotify",Spotify_EurovisionYear
2023,Brunette,"Future Lover",Brunette,"Future Lover","Eurovision 2023"
2023,Diljá,Power,Diljá,Power,"Eurovision 2023"
2023,Gustaph,"Because Of You",Gustaph,"Because Of You","Eurovision 2023"
2023,"Joker Out","Carpe Diem","Joker Out","Carpe Diem","Eurovision 2023"
2023,Käärijä,"Cha Cha Cha",Käärijä,"Cha Cha Cha","Eurovision 2023"
2023,"La Zarra",Évidemment,"La Zarra",Évidemment,"Eurovision 2023"
2023,"Let 3","Mama Šč!","Let 3","Mama Šč!","Eurovision 2023"
2023,"Lord Of The Lost","Blood & Glitter","Lord Of The Lost","Blood & Glitter","Eurovision 2023"
2023,Loreen,Tattoo,Loreen,Tattoo,"Eurovision 2023"
2023,"Luke Black","Samo Mi Se Spava","Luke Black","Samo Mi Se Spava","Eurovision 2023"
2023,"Mae Muller","I Wrote A Song","Mae Muller","I Wrote A Song","Eurovision 2023"
2023,"Marco Mengoni","Due Vite","Marco Mengoni","Due Vite","Eurovision 2023"
2023,"Mia Nicolai & Dion Cooper","Burning Daylight","Mia Nicolai","Burning Daylight","Eurovision 2023"
2023,Mimicat,"Ai Coração",Mimicat,"Ai Coração","Eurovision 2023"
2023,"Monika Linkytė",Stay,"Monika Linkyte",Stay,"Eurovision 2023"
2023,"Noa Kirel",Unicorn,"Noa Kirel",Unicorn,"Eurovision 2023"
2023,"Pasha Parfeni","Soarele Și Luna","Pasha Parfeni","Soarele Si Luna","Eurovision 2023"
2023,"Piqued Jacks","Like An Animal","Piqued Jacks","Like An Animal","Eurovision 2023"
2023,Reiley,"Breaking My Heart",Reiley,"Breaking My Heart","Eurovision 2023"
2023,"Remo Forrer",Watergun,"Remo Forrer",Watergun,"Eurovision 2023"
2023,"Sudden Lights",Aijā,"Sudden Lights",Aijā,"Eurovision 2023"
2023,"Teya & Salena","Who The Hell Is Edgar?",Teya,"Who The Hell Is Edgar?","Eurovision 2023"
2023,"The Busker","Dance (Our Own Party)","The Busker","Dance (Our Own Party)","Eurovision 2023"
2023,Turalturanx,"Tell Me More",Turalturanx,"Tell Me More","Eurovision 2023"
2023,Vesna,"My Sister'S Crown",Vesna,"My Sister'S Crown","Eurovision 2023"
2023,"Victor Vernicos","What They Say",Victor,"What They Say","Eurovision 2023"
2023,Voyager,Promise,Voyager,Promise,"Eurovision 2023"
2023,Tvorchi,"Heart Of Steel",NULL,NULL,NULL
2023,Iru,Echo,NULL,NULL,NULL
2023,"Wild Youth","We Are One",NULL,NULL,NULL
2023,"Theodor Andrei","D.G.T. (Off And On)",NULL,NULL,NULL
2024,"5Miinust & Puuluup","(Nendest) Narkootikumidest Ei Tea Me (Küll) Midagi",5Miinust,"(Nendest) Narkootikumidest Ei Tea Me (Küll) Midagi","Eurovision 2024"
2024,"Alyona Alyona & Jerry Heil","Teresa & Maria","Alyona Alyona","Teresa & Maria","Eurovision 2024"
2024,"Angelina Mango","La Noia","Angelina Mango","La Noia","Eurovision 2024"
2024,"Baby Lasagna","Rim Tim Tagi Dim","Baby Lasagna","Rim Tim Tagi Dim","Eurovision 2024"
2024,"Bambie Thug","Doomsday Blue","Bambie Thug","Doomsday Blue","Eurovision 2024"
2024,Besa,Titan,Besa,Titan,"Eurovision 2024"
2024,Dons,Hollow,Dons,Hollow,"Eurovision 2024"
2024,"Eden Golan",Hurricane,"Eden Golan",Hurricane,"Eurovision 2024"
2024,"Electric Fields","One Milkali (One Blood)","Electric Fields","One Milkali (One Blood)","Eurovision 2024"
2024,"Fahree Feat. Ilkin Dovlatov","Özünlə Apar",Fahree,"Özünlə Apar","Eurovision 2024"
2024,Gåte,Ulveham,Gåte,Ulveham,"Eurovision 2024"
2024,"Hera Björk","Scared Of Heights","Hera Björk","Scared Of Heights","Eurovision 2024"
2024,Iolanda,Grito,Iolanda,Grito,"Eurovision 2024"
2024,Isaak,"Always On The Run",Isaak,"Always On The Run","Eurovision 2024"
2024,"Joost Klein",Europapa,Joost,Europapa,"Eurovision 2024"
2024,Kaleen,"We Will Rave",Kaleen,"We Will Rave","Eurovision 2024"
2024,Ladaniva,Jako,Ladaniva,Jako,"Eurovision 2024"
2024,Luna,"The Tower",Luna,"The Tower","Eurovision 2024"
2024,"Marcus & Martinus",Unforgettable,"Marcus & Martinus",Unforgettable,"Eurovision 2024"
2024,"Marina Satti",Zari,"Marina Satti",Zari,"Eurovision 2024"
2024,Megara,11:11,Megara,11:11,"Eurovision 2024"
2024,Mustii,"Before The Party'S Over",Mustii,"Before The Party'S Over","Eurovision 2024"
2024,"Natalia Barbu","In The Middle","Natalia Barbu","In The Middle","Eurovision 2024"
2024,Nebulossa,Zorra,Nebulossa,Zorra,"Eurovision 2024"
2024,Nemo,"The Code",Nemo,"The Code","Eurovision 2024"
2024,"Nutsa Buzaladze",Firefighter,Nutsa,Firefighter,"Eurovision 2024"
2024,Raiven,Veronika,Raiven,Veronika,"Eurovision 2024"
2024,Saba,Sand,Saba,Sand,"Eurovision 2024"
2024,"Sarah Bonnici",Loop,"Sarah Bonnici",Loop,"Eurovision 2024"
2024,"Silia Kapsis",Liar,"Silia Kapsis",Liar,"Eurovision 2024"
2024,"Silvester Belt",Luktelk,"Silvester Belt",Luktelk,"Eurovision 2024"
2024,Slimane,"Mon Amour",Slimane,"Mon Amour","Eurovision 2024"
2024,"Teya Dora",Ramonda,"Teya Dora",Ramonda,"Eurovision 2024"
2024,Windows95Man,"No Rules!",Windows95Man,"No Rules!","Eurovision 2024"
2024,Tali,Fighter,NULL,NULL,NULL
2024,"Olly Alexander",Dizzy,NULL,NULL,NULL
2024,Aiko,Pedestal,NULL,NULL,NULL
